City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
300,Okha,RU,53.5739,142.9478,54.32,99,100,13.96,light rain
301,Ust-Kan,RU,50.9276,84.761,52.32,89,71,1.14,broken clouds
302,Acapulco,MX,16.8634,-99.8901,87.62,66,40,4.61,scattered clouds
303,Kyshtovka,RU,56.555,76.6271,57.67,89,70,8.05,broken clouds
304,Kindu,CD,-2.95,25.95,79.0,34,15,0.63,few clouds
305,Westport,US,41.1415,-73.3579,95.27,61,0,10.36,thunderstorm
306,Miraflores,MX,19.2167,-98.8083,70.03,59,65,2.28,broken clouds
307,Narsaq,GL,60.9167,-46.05,59.22,68,100,6.67,overcast clouds
308,Belaya Gora,RU,68.5333,146.4167,60.1,61,58,5.19,broken clouds
309,Atuona,PF,-9.8,-139.0333,77.32,72,9,13.38,clear sky
310,Geraldton,AU,-28.7667,114.6,57.61,58,40,17.27,scattered clouds
311,Prachuap Khiri Khan,TH,12.2167,99.75,70.97,91,100,7.92,light rain
312,Lavrentiya,RU,65.5833,-171.0,38.44,83,100,10.89,overcast clouds
313,Anito,PH,12.4497,125.2886,76.55,89,99,3.2,overcast clouds
314,Capitao Poco,BR,-1.7464,-47.0594,92.68,42,18,3.98,few clouds
315,Cabo Rojo,PR,18.0866,-67.1457,92.05,73,44,1.99,scattered clouds
316,Chernyshevskiy,RU,63.0128,112.4714,46.18,97,39,3.83,scattered clouds
317,Ust-Maya,RU,60.4167,134.5333,60.22,68,99,11.1,overcast clouds
318,Ixtapa,MX,20.7,-105.2,88.23,66,100,5.01,overcast clouds
319,Rio Grande,BR,-32.035,-52.0986,62.71,76,72,13.96,broken clouds
320,Panaba,MX,21.2833,-88.2667,95.56,40,70,3.13,broken clouds
321,Mayo,US,38.8876,-76.5119,95.45,70,0,11.5,clear sky
322,Adilabad,IN,19.6667,78.5333,75.29,93,100,14.9,moderate rain
323,Boa Vista,BR,2.8197,-60.6733,93.18,43,40,8.05,scattered clouds
324,Fortuna,US,40.5982,-124.1573,66.92,80,100,5.75,overcast clouds
325,Bara,NG,10.3744,10.7288,73.72,91,95,4.74,overcast clouds
326,Honiara,SB,-9.4333,159.95,76.15,89,68,3.49,broken clouds
327,Shache,CN,38.4167,77.2406,81.19,42,60,9.06,broken clouds
328,Zambezi,ZM,-13.5432,23.1047,68.36,23,1,5.77,clear sky
329,Olafsvik,IS,64.8945,-23.7142,51.94,93,94,16.37,overcast clouds
330,Nhulunbuy,AU,-12.2333,136.7667,74.01,88,11,8.05,few clouds
331,Shestakovo,RU,56.4915,103.96,54.9,95,88,3.44,overcast clouds
332,Hailar,CN,49.2,119.7,55.11,60,38,12.62,scattered clouds
333,Mamlyutka,KZ,54.9375,68.5394,60.21,75,45,8.14,scattered clouds
334,Linkou,CN,45.3,130.2833,55.26,88,0,6.49,clear sky
335,Luderitz,NA,-26.6481,15.1594,58.96,68,53,6.06,broken clouds
336,Cidreira,BR,-30.1811,-50.2056,58.62,91,100,13.89,overcast clouds
337,Oktyabrskiy,RU,54.4815,53.471,68.34,73,94,1.66,overcast clouds
338,Maragogi,BR,-9.0122,-35.2225,78.62,63,30,8.43,scattered clouds
339,Codrington,AU,-38.2667,141.9667,44.58,78,88,5.86,overcast clouds
340,Bang Saphan,TH,11.2126,99.5117,75.18,91,100,5.17,overcast clouds
341,Homer,US,59.6425,-151.5483,55.29,83,100,8.01,overcast clouds
342,Hays,US,30.0502,-98.0336,97.3,48,15,1.01,few clouds
343,Phalia,PK,32.4297,73.5775,89.2,62,10,4.29,clear sky
344,Itoman,JP,26.1247,127.6694,84.97,82,40,4.61,scattered clouds
345,Hami,CN,42.8,93.45,87.64,23,0,10.87,clear sky
